epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.141,1.82984,2.12259,1.89533,0.84761,0.61458,0.72201,0.36147,1.7529,1.10719,1.88308,0.0704225,0.00328638,0.00328638
2,524.539,1.61272,1.19378,1.61751,0.74118,0.72886,0.76765,0.38336,1.74934,0.99527,1.81536,0.040357,0.00655418,0.00655418
3,868.048,1.55551,1.11156,1.5408,0.82129,0.69837,0.77705,0.39194,1.76948,1.09678,1.81741,0.0102255,0.00975598,0.00975598
4,1274.43,1.61643,1.09677,1.57396,0.77556,0.75404,0.77984,0.38404,1.80239,1.11169,1.89191,0.009703,0.009703,0.009703
5,1521.45,1.59969,1.08331,1.56507,0.80986,0.67805,0.74141,0.36197,1.82237,1.15279,1.9468,0.009604,0.009604,0.009604
6,1862.62,1.5843,1.07585,1.56837,0.85639,0.70204,0.77197,0.38935,1.77969,1.09081,1.88839,0.009505,0.009505,0.009505
7,2285.97,1.58519,1.0654,1.55997,0.80771,0.71148,0.77214,0.38523,1.76169,1.12204,1.84938,0.009406,0.009406,0.009406
8,2988.85,1.55898,1.03328,1.5563,0.82161,0.69752,0.76123,0.38393,1.76462,1.11058,1.85978,0.009307,0.009307,0.009307
9,3227.26,1.53417,0.99694,1.53345,0.83832,0.71199,0.78735,0.40681,1.73992,0.9981,1.83779,0.009208,0.009208,0.009208
10,3641.92,1.53126,0.99579,1.5416,0.79772,0.72612,0.79071,0.39682,1.77193,1.04668,1.87734,0.009109,0.009109,0.009109
11,3936.71,1.52499,0.98632,1.53555,0.85567,0.70096,0.78908,0.41087,1.73582,0.96762,1.8539,0.00901,0.00901,0.00901
12,4643.66,1.51425,0.96255,1.53458,0.81768,0.73901,0.80105,0.40398,1.73723,0.9561,1.85128,0.008911,0.008911,0.008911
13,4918.03,1.52742,0.9641,1.54237,0.85607,0.70188,0.78604,0.40268,1.73524,0.97289,1.84386,0.008812,0.008812,0.008812
14,5328.93,1.49549,0.93962,1.51827,0.84686,0.70863,0.79684,0.41873,1.73752,0.92625,1.83439,0.008713,0.008713,0.008713
15,5625.97,1.50918,0.94289,1.52376,0.85106,0.75007,0.8205,0.42601,1.71754,0.91051,1.84585,0.008614,0.008614,0.008614
16,6391.91,1.47933,0.92248,1.50201,0.8806,0.73941,0.8274,0.42775,1.71238,0.91239,1.80453,0.008515,0.008515,0.008515
17,6880.6,1.48911,0.92718,1.51271,0.85824,0.74817,0.82127,0.42572,1.71238,0.88086,1.81767,0.008416,0.008416,0.008416
18,7208.31,1.4597,0.90643,1.50626,0.84503,0.74949,0.81133,0.42885,1.72813,0.88224,1.83845,0.008317,0.008317,0.008317
19,7460.77,1.44776,0.87483,1.47689,0.8518,0.77861,0.82791,0.43169,1.71678,0.88905,1.83509,0.008218,0.008218,0.008218
20,7743.19,1.43967,0.86824,1.49991,0.83738,0.73943,0.79615,0.41694,1.74637,0.91112,1.86964,0.008119,0.008119,0.008119
21,8532.76,1.44154,0.87502,1.47606,0.86588,0.74861,0.80483,0.43109,1.7078,0.88419,1.81546,0.00802,0.00802,0.00802
22,8993.36,1.43,0.84842,1.46508,0.81821,0.74245,0.80547,0.42883,1.71879,0.89206,1.85363,0.007921,0.007921,0.007921
23,9281.34,1.42596,0.85585,1.48089,0.8389,0.76391,0.8231,0.43763,1.66897,0.84724,1.79323,0.007822,0.007822,0.007822
24,9579.57,1.41829,0.84314,1.47391,0.81879,0.76713,0.81391,0.42603,1.751,0.86369,1.85679,0.007723,0.007723,0.007723
25,9850.83,1.42576,0.836,1.47665,0.84631,0.75779,0.81016,0.42549,1.7036,0.85879,1.81806,0.007624,0.007624,0.007624
26,10108.6,1.41988,0.84057,1.46471,0.8721,0.75032,0.81765,0.42858,1.71605,0.83715,1.84235,0.007525,0.007525,0.007525
27,10377.6,1.40063,0.82883,1.46363,0.83243,0.76543,0.81807,0.44272,1.71916,0.85516,1.84722,0.007426,0.007426,0.007426
28,11115.1,1.40186,0.81584,1.45848,0.84746,0.75975,0.8159,0.43881,1.72232,0.83961,1.84899,0.007327,0.007327,0.007327
29,11588.6,1.38365,0.79462,1.44344,0.86145,0.75728,0.83468,0.45311,1.66011,0.83735,1.79191,0.007228,0.007228,0.007228
30,11866.1,1.35795,0.77885,1.42303,0.85023,0.78895,0.83261,0.44392,1.67397,0.81842,1.81034,0.007129,0.007129,0.007129
31,12158.5,1.37517,0.79659,1.43395,0.84809,0.73784,0.81452,0.43,1.7181,0.83469,1.83477,0.00703,0.00703,0.00703
32,12443.3,1.35523,0.7707,1.42913,0.85909,0.75129,0.81337,0.44266,1.69932,0.84962,1.82323,0.006931,0.006931,0.006931
33,12766.3,1.35968,0.76431,1.42097,0.83294,0.79724,0.82933,0.44227,1.7116,0.81916,1.84328,0.006832,0.006832,0.006832
34,13071.5,1.34014,0.77455,1.41729,0.87225,0.76537,0.83127,0.44687,1.68162,0.82115,1.83301,0.006733,0.006733,0.006733
35,13369.2,1.33374,0.73726,1.40444,0.86134,0.7686,0.82699,0.44891,1.69411,0.8284,1.79793,0.006634,0.006634,0.006634
36,14202.4,1.33012,0.75927,1.42107,0.87075,0.77016,0.83407,0.44548,1.68446,0.81104,1.82442,0.006535,0.006535,0.006535
37,14661,1.29927,0.72966,1.38487,0.83394,0.78003,0.82227,0.43842,1.7049,0.79898,1.82962,0.006436,0.006436,0.006436
38,14928.7,1.30266,0.74169,1.38854,0.81502,0.8074,0.82954,0.444,1.69297,0.80455,1.83263,0.006337,0.006337,0.006337
39,15168.6,1.30586,0.72869,1.396,0.81688,0.78152,0.81536,0.44004,1.69272,0.82692,1.84422,0.006238,0.006238,0.006238
40,15868.4,1.30526,0.73784,1.38515,0.8511,0.77026,0.82085,0.44865,1.7087,0.81767,1.856,0.006139,0.006139,0.006139
41,16230.1,1.27738,0.70498,1.38329,0.85765,0.77096,0.82821,0.45175,1.69569,0.82363,1.8529,0.00604,0.00604,0.00604
42,16462.8,1.27739,0.70384,1.37066,0.84148,0.7843,0.83319,0.44143,1.72795,0.8091,1.87029,0.005941,0.005941,0.005941
43,16735.7,1.26781,0.70942,1.37277,0.87198,0.75318,0.83256,0.44802,1.69133,0.80811,1.8467,0.005842,0.005842,0.005842
44,17601.7,1.26533,0.7066,1.36789,0.85256,0.7868,0.82983,0.4495,1.68172,0.81028,1.81735,0.005743,0.005743,0.005743
45,18110.6,1.23962,0.68205,1.35587,0.85981,0.76791,0.82841,0.45374,1.67887,0.79622,1.82776,0.005644,0.005644,0.005644
46,18568.6,1.23987,0.68644,1.34246,0.86885,0.78084,0.82841,0.45416,1.6805,0.77597,1.84278,0.005545,0.005545,0.005545
47,18920.4,1.25448,0.68926,1.34685,0.88725,0.77704,0.83382,0.45539,1.68312,0.79841,1.83098,0.005446,0.005446,0.005446
48,19288,1.2299,0.68331,1.35621,0.84548,0.77284,0.82231,0.4431,1.74213,0.80296,1.88886,0.005347,0.005347,0.005347
49,19795.8,1.21838,0.6622,1.33692,0.84808,0.78574,0.82937,0.44731,1.68617,0.81043,1.82711,0.005248,0.005248,0.005248
50,20303.2,1.20836,0.65278,1.32222,0.84842,0.79306,0.83261,0.4452,1.70726,0.79997,1.86893,0.005149,0.005149,0.005149
51,20595.7,1.22053,0.66319,1.33342,0.83976,0.77544,0.83021,0.4508,1.70074,0.8172,1.87756,0.00505,0.00505,0.00505
52,21274.6,1.1957,0.65325,1.31656,0.85992,0.77742,0.833,0.44835,1.70199,0.79992,1.86985,0.004951,0.004951,0.004951
